Training Accuracy,Validation Accuracy,Training Loss,Validation Loss
0.9542928338050842,0.9457690715789795,0.3535394072532654,0.42363664507865906
0.9534098505973816,0.9438990354537964,0.35102179646492004,0.41008299589157104
0.949150800704956,0.936418890953064,0.36146509647369385,0.46344083547592163
0.9511244893074036,0.939691424369812,0.3570895195007324,0.4155590832233429
0.9533059597015381,0.9462365508079529,0.34913182258605957,0.4194403290748596
0.9513322710990906,0.9373539090156555,0.3551270663738251,0.453777939081192
0.9511764645576477,0.9453015327453613,0.3558039963245392,0.41727179288864136
0.9511764645576477,0.9438990354537964,0.3508908450603485,0.41463565826416016
0.9529423713684082,0.9471715688705444,0.3482314348220825,0.40939804911613464
0.9523191452026367,0.9495091438293457,0.3483811914920807,0.4117587208747864
0.9537734389305115,0.9415614604949951,0.3454882502555847,0.4281570017337799
0.9522152543067932,0.9382889270782471,0.3496983051300049,0.43562108278274536
0.9524229764938354,0.9424964785575867,0.3491494357585907,0.41139620542526245
0.9538253545761108,0.9336138367652893,0.34782081842422485,0.426641047000885
0.953669548034668,0.9485741257667542,0.34344425797462463,0.40926113724708557
0.9529943466186523,0.9429640173912048,0.34443867206573486,0.42945319414138794
0.9540850520133972,0.9485741257667542,0.34179559350013733,0.3999653160572052
0.9535137414932251,0.9424964785575867,0.3432304263114929,0.40684324502944946
0.9537215232849121,0.9499766230583191,0.343064546585083,0.4085593521595001
0.9527865648269653,0.9326788187026978,0.3446456789970398,0.4324471354484558
0.954812228679657,0.9485741257667542,0.34019941091537476,0.3954041302204132
0.955954909324646,0.9448340535163879,0.33545830845832825,0.4113462269306183
0.9522152543067932,0.948106586933136,0.34363505244255066,0.39371833205223083
0.9546564221382141,0.9443665146827698,0.3365189731121063,0.4153095781803131
0.9516958594322205,0.9336138367652893,0.3446539044380188,0.45206186175346375
0.9518516659736633,0.9462365508079529,0.33956819772720337,0.3957800567150116
0.9534098505973816,0.9457690715789795,0.339155375957489,0.4040735065937042
0.9551239013671875,0.946704089641571,0.33506619930267334,0.4150451421737671
0.9556432962417603,0.9490416049957275,0.330728143453598,0.39485597610473633
0.9548642039299011,0.9476391077041626,0.3342863619327545,0.39368459582328796
0.953877329826355,0.9415614604949951,0.3336794078350067,0.4010773301124573
0.9535656571388245,0.948106586933136,0.33367541432380676,0.39809924364089966
0.9548642039299011,0.9429640173912048,0.3324776291847229,0.4076527953147888
0.956162691116333,0.9462365508079529,0.32818078994750977,0.397841215133667
0.9543967247009277,0.9424964785575867,0.33289507031440735,0.40326783061027527
0.9554355144500732,0.9462365508079529,0.33179304003715515,0.39762723445892334
0.9544486403465271,0.9453015327453613,0.3322736918926239,0.39714816212654114
0.9547603130340576,0.9392239451408386,0.33441856503486633,0.42069026827812195
0.9543967247009277,0.9518466591835022,0.33145901560783386,0.3896580636501312
0.9554874300956726,0.9476391077041626,0.3250119686126709,0.3898399770259857
0.9567859768867493,0.9485741257667542,0.3230821192264557,0.39686763286590576
0.9555394053459167,0.9359513521194458,0.3261108994483948,0.44172853231430054
0.9546045064926147,0.9424964785575867,0.32793447375297546,0.40528401732444763
0.9562665820121765,0.9462365508079529,0.3233816623687744,0.4096190333366394
0.9560068845748901,0.9415614604949951,0.32341140508651733,0.40947362780570984
0.9564743041992188,0.9443665146827698,0.3209783732891083,0.38977184891700745
